id,count
745,162.14
746,28.53
749,235.96
752,27.31
753,185.05
758,255.38
765,17.78
766,232.67
768,83.23
769,175.0
774,125.37
775,107.71
781,52.75
784,339.25
794,18.52
795,286.44
796,86.47
802,168.17
803,229.55
805,31.4
806,290.67
807,99.14
809,17.08
810,163.46
812,202.82
814,113.74
818,252.11
819,133.68
825,78.0
836,97.74
839,116.27
847,262.72
848,184.68
851,126.54
852,139.37
853,35.24
857,146.94
858,44.41
859,226.65
861,22.77
867,100.1
870,227.81
871,204.58
872,229.33
874,359.28
881,206.44
886,140.47
890,56.16
895,164.24
899,80.88
900,283.18
901,261.71
902,234.55
903,45.54
913,264.9
918,204.31
923,143.45
924,38.62
926,26.45
927,17.31
930,229.02
934,31.31
937,132.29
939,158.34
941,90.76
942,388.51
946,286.6
950,97.0
953,89.66
959,102.25
961,27.94
962,97.84
964,79.1
969,195.61
971,157.98
976,45.27
978,269.46
980,236.57
981,147.02
990,382.94
993,19.95
996,20.08
998,326.7
999,167.94
1006,122.03
1008,16.34
1013,32.32
1015,101.01
1016,121.66
1022,313.86
1026,220.24
1028,254.18
1031,65.83
1034,45.35
1037,186.13
1040,64.66
1042,18.83
1046,18.99
1048,100.56
1049,115.43
1050,68.24
1051,226.24
1052,234.26
1055,183.14
1060,149.13
1064,28.63
1066,75.31
1071,101.74
1073,14.15
1089,203.77
1091,93.22
1092,75.22
1093,243.92
1096,322.72
1097,228.2
1098,17.09
1099,39.81
1102,172.38
1107,104.33
1109,45.91
1111,142.1
1112,115.59
1114,300.48
1116,299.26
1117,123.17
1118,69.75
1122,133.77
1124,154.28
1127,118.2
1133,226.75
1134,37.39
1135,162.6
1139,314.19
1143,51.37
1150,113.92
1151,106.33
1153,277.37
1155,27.18
1162,27.95
1163,212.76
1166,19.51
1171,83.92
1172,16.29
1173,253.98
1174,64.12
1177,116.31
1178,169.68
1184,187.14
1185,108.95
1186,119.56
1187,171.02
1188,281.12
1191,143.72
1207,124.39
1213,45.01
1215,126.23
1223,171.11
1227,118.14
1236,53.46
1237,50.39
1238,19.21
1241,29.38
1248,17.09
1250,40.05
1251,166.17
1253,112.84
1255,105.53
1257,165.61
1261,105.96
1262,351.5
1265,122.44
1273,177.9
1277,260.82
1278,114.81
1280,113.23
1284,224.48
1285,337.84
1288,38.74
1295,113.62
1297,365.24
1299,256.14
1304,149.07
1308,41.13
1310,96.73
1311,114.17
1314,92.81
1315,112.76
1318,32.28
1320,335.48
1321,303.46
1322,248.78
1330,123.28
1333,167.48
1334,236.27
1341,129.2
1344,152.83
1351,243.33
1354,101.15
1356,53.89
1363,121.75
1365,203.4
1369,126.31
1373,113.98
1375,106.86
1377,81.16
1379,116.14
1380,279.69
1381,98.46
1384,186.38
1390,195.92
1393,254.91
1395,48.4
1399,332.53
1400,87.94
1401,175.21
1404,178.14
1408,15.12
1409,28.45
1413,227.64
1416,292.29
1418,102.13
1423,103.08
1424,26.07
1425,17.56
1433,249.26
1434,156.32
1436,326.41
1442,245.91
1444,81.15
1445,121.89
1452,250.48
1455,168.44
1462,70.31
1467,76.45
1472,44.85
1475,192.56
1493,113.83
1501,221.98
1503,310.76
1504,218.72
1505,16.33
1511,232.05
1512,51.75
1513,85.17
1514,40.83
1528,261.42
1533,242.58
1534,28.9
1536,147.93
1537,75.08
1539,236.73
1550,206.57
1552,217.61
1554,200.07
1555,384.98
1556,98.35
1559,34.76
1563,243.27
1566,151.64
1567,171.97
1568,27.46
1571,231.71
1572,17.27
1574,45.93
1577,19.07
1583,73.08
1585,31.35
1586,204.05
1587,178.18
1596,152.84
1602,39.93
1604,76.08
1605,33.66
1610,312.88
1611,92.28
1616,35.3
1617,97.87
1618,16.96
1622,44.19
1623,32.63
1628,312.28
1631,17.82
1632,189.59
1633,243.69
1634,316.04
1636,242.02
1637,103.85
1643,121.96
1644,102.91
1646,94.93
1648,203.82
1651,32.94
1656,17.19
1658,150.74
1659,17.03
1665,195.15
1666,147.22
1670,45.77
1674,153.55
1679,218.5
1680,236.04
1683,329.85
1686,26.76
1691,103.95
1693,37.85
1696,42.28
1697,99.09
1703,96.52
1706,27.19
1709,172.38
1710,85.61
1712,180.65
1713,122.9
1718,359.98
1719,166.76
1722,279.42
1723,127.9
1724,286.92
1728,61.92
1730,33.7
1732,29.27
1737,38.66
1745,86.78
1747,16.03
1748,14.22
1755,102.05
1759,18.72
1761,283.1
1764,239.25
1765,148.06
1766,92.16
1768,99.54
1770,30.37
1771,146.15
1774,98.71
1785,121.03
1788,195.98
1792,15.9
1794,231.63
1797,118.53
1798,13.33
1799,267.34
1802,102.72
1806,31.87
1808,75.99
1810,250.09
1818,127.15
1819,389.03
1820,284.59
1822,239.06
1826,240.87
1827,150.46
1835,18.72
1841,117.14
1842,121.91
1843,17.22
1846,43.86
1849,112.34
1850,214.23
1851,203.71
1857,49.35
1858,185.92
1860,96.71
1861,245.19
1864,117.03
1869,326.67
1871,69.94
1872,31.23
1875,18.73
1878,230.35
1879,244.42
1885,87.49
1888,103.8
1889,29.78
1890,96.97
1896,153.76
1897,172.72
1898,116.79
1900,98.85
1905,43.96
1908,118.46
1909,102.02
1913,72.6
1918,111.38
1922,314.85
1923,129.61
1925,281.0
1926,154.7
1927,308.59
1930,203.63
1935,54.33
1939,114.56
1942,96.61
1943,98.28
1948,255.26
1949,270.04
1951,109.49
1953,115.86
1959,121.68
1963,16.27
1967,121.16
1973,263.67
1975,27.92
1976,87.69
1990,115.54
1993,114.91
1997,208.52
1999,124.28
2001,298.68
2004,90.09
2010,102.57
2013,134.04
2017,305.14
2021,99.63
2023,167.1
2026,148.37
2037,34.25
2039,197.0
2041,18.05
2046,29.29
2050,17.56
2060,258.1
2067,104.26
2069,149.07
2072,248.64
2074,138.77
2079,120.81
2083,26.87
2085,205.3
2087,17.54
2093,145.97
2094,31.1
2097,40.42
2103,99.67
2104,47.2
2107,199.94
2108,18.16
2110,92.15
2115,177.59
2117,32.94
2125,328.44
2127,263.13
2133,16.87
2134,376.98
2135,118.98
2141,247.64
2143,32.86
2145,84.25
2146,29.11
2147,298.95
2148,64.03
2149,68.95
2165,124.34
2166,149.34
2177,204.99
